19:29:08|1每日.py|每日脚本开始
19:44:46|util.py|findPicLoop 循环找图结束 ./public/bmp/S.bmp
19:44:46|const.py|自律 结束
19:44:48|util.py|click 181 426
19:44:49|util.py|click 684 308
19:44:51|const.py|打捞到sr或ssr判断 开始
19:44:52|util.py|click 684 308
19:44:52|util.py|findPicLoop 循环找图开始 ./public/bmp/exp2.bmp
19:44:53|util.py|findPicLoop 循环找图结束 ./public/bmp/exp2.bmp
19:44:53|util.py|click 733 445
19:44:57|const.py|作战失败判断 开始
19:45:01|const.py|紧急委托判断 开始
19:45:02|const.py|anchorProcess 出击步骤结束
19:45:02|const.py|goBossProcess boss解决
19:45:02|const.py|intoStageProcess 进入stage步骤开始
19:45:04|util.py|click 376 150
19:45:05|util.py|findPicLoop 循环找图开始 ./public/bmp/start chapter.jpg
19:45:07|util.py|findPicLoop 循环找图结束 ./public/bmp/start chapter.jpg
19:45:07|util.py|click 642 350
19:45:08|const.py|船坞已满判断 开始
19:45:09|util.py|findPicLoop 循环找图开始 ./public/bmp/start chapter.jpg
19:45:10|util.py|findPicLoop 循环找图结束 ./public/bmp/start chapter.jpg
19:45:10|util.py|click 716 411
19:45:11|const.py|intoStageProcess 进入stage步骤结束
19:45:11|const.py|goBossProcess 走boss格子 开始
19:45:11|util.py|findPicLoop 循环找图开始 ./public/bmp/boss.jpg
19:45:17|util.py|findPicLoop 循环找图结束 ./public/bmp/boss.jpg
19:45:17|util.py|click 431 236
19:45:17|const.py|anchorProcess 出击步骤开始
19:45:18|const.py|今日不再提示判断 开始
19:45:19|util.py|findPicLoop 循环找图开始 ./public/bmp/anchor.bmp
19:45:22|util.py|findPicLoop 循环找图结束 ./public/bmp/anchor.bmp
19:45:23|util.py|click 770 429
19:45:23|const.py|自律 开始
19:45:24|const.py|船坞已满判断 开始
19:45:36|util.py|findPicLoop 循环找图开始 ./public/bmp/S.bmp
19:46:29|util.py|findPicLoop 循环找图结束 ./public/bmp/S.bmp
19:46:29|const.py|自律 结束
19:46:30|util.py|click 181 426
19:46:32|util.py|click 684 308
19:46:34|const.py|打捞到sr或ssr判断 开始
19:46:35|const.py|打捞到sr或者ssr
19:46:35|util.py|click 684 308
19:46:38|util.py|click 684 308
19:46:38|util.py|findPicLoop 循环找图开始 ./public/bmp/exp2.bmp
19:46:39|util.py|findPicLoop 循环找图结束 ./public/bmp/exp2.bmp
19:46:39|util.py|click 733 445
19:46:43|const.py|作战失败判断 开始
19:46:47|const.py|紧急委托判断 开始
19:46:48|const.py|anchorProcess 出击步骤结束
19:46:48|const.py|goBossProcess boss解决
19:46:48|const.py|backMainProcess 返回主页面开始
19:46:50|util.py|click 830 26
22:18:48|4通常7-2 不打boss.py|通常7-2 不打boss 开始
22:18:48|const.py|chapterProcess 进入出击章节步骤开始
22:18:48|const.py|backMainProcess 返回主页面开始
22:18:50|const.py|backMainProcess 返回主页面结束
22:18:50|util.py|findPicLoop 循环找图开始 ./public/bmp/weigh anchor.jpg
22:18:51|util.py|findPicLoop 循环找图结束 ./public/bmp/weigh anchor.jpg
22:18:51|util.py|click 729 244
22:18:51|const.py|判断是否为图里面 开始
22:18:55|util.py|findPicLoop 循环找图开始 ./public/bmp/main battleline.jpg
22:18:56|util.py|findPicLoop 循环找图结束 ./public/bmp/main battleline.jpg
22:18:56|util.py|click 231 225
22:18:56|util.py|findPicLoop 循环找图开始 ./public/bmp/exercise.jpg
22:18:58|util.py|findPicLoop 循环找图结束 ./public/bmp/exercise.jpg
22:18:58|util.py|getWords 识字开始
22:19:00|util.py|getWords 识字结束
22:19:01|util.py|click 59 451
22:19:02|const.py|chapterProcess 进入出击章节步骤结束
22:19:02|4通常7-2 不打boss.py|-------------一局开始------------
22:19:02|const.py|intoStageProcess 进入stage步骤开始
22:19:04|util.py|click 361 146
22:19:04|util.py|findPicLoop 循环找图开始 ./public/bmp/start chapter.jpg
22:19:06|util.py|findPicLoop 循环找图结束 ./public/bmp/start chapter.jpg
22:19:06|util.py|click 642 350
22:19:07|const.py|船坞已满判断 开始
22:19:08|util.py|click 767 220
22:19:09|util.py|click 713 131
22:19:09|util.py|click 740 232
22:19:10|util.py|click 714 223
22:19:11|util.py|click 740 406
22:19:11|util.py|findPicLoop 循环找图开始 ./public/bmp/start chapter.jpg
22:19:12|util.py|findPicLoop 循环找图结束 ./public/bmp/start chapter.jpg
22:19:12|util.py|click 716 411
22:19:13|const.py|红脸判断 开始
22:19:14|util.py|getWords 识字开始
22:19:15|util.py|getWords 识字结束
22:19:15|const.py|intoStageProcess 进入stage步骤结束
22:19:15|4通常7-2 不打boss.py|------------一把开始-----------
22:19:15|util.py|findPicLoop 循环找图开始 ./public/bmp/withdraw.jpg
22:19:16|util.py|findPicLoop 循环找图结束 ./public/bmp/withdraw.jpg
22:19:20|const.py|findShip 找船 开始
22:19:21|const.py|findShip 找船 结束
22:19:21|util.py|click 168 242
22:19:22|const.py|anchorProcess 出击步骤开始
22:19:23|const.py|今日不再提示判断 开始
22:19:24|util.py|findPicLoop 循环找图开始 ./public/bmp/anchor.bmp
22:19:30|util.py|findPicLoop 循环找图结束 ./public/bmp/anchor.bmp
22:19:31|util.py|click 770 429
22:19:31|const.py|自律 开始
22:19:32|const.py|红脸判断 开始
22:19:32|util.py|getWords 识字开始
22:19:34|util.py|getWords 识字结束
22:19:34|const.py|船坞已满判断 开始
22:19:45|util.py|findPicLoop 循环找图开始 ./public/bmp/S.bmp
22:20:52|util.py|findPicLoop 循环找图结束 ./public/bmp/S.bmp
22:20:52|const.py|自律 结束
22:20:54|util.py|click 181 426
22:20:55|util.py|click 684 308
22:20:57|const.py|打捞到sr或ssr判断 开始
22:20:58|util.py|click 684 308
22:20:59|util.py|findPicLoop 循环找图开始 ./public/bmp/exp2.bmp
22:21:00|util.py|findPicLoop 循环找图结束 ./public/bmp/exp2.bmp
22:21:00|util.py|click 733 445
22:21:03|const.py|作战失败判断 开始
22:21:07|const.py|紧急委托判断 开始
22:21:09|const.py|anchorProcess 出击步骤结束
22:21:09|4通常7-2 不打boss.py|------------一把结束-----------
22:21:09|4通常7-2 不打boss.py|------------一把开始-----------
22:21:09|util.py|findPicLoop 循环找图开始 ./public/bmp/withdraw.jpg
22:21:10|util.py|findPicLoop 循环找图结束 ./public/bmp/withdraw.jpg
22:21:14|4通常7-2 不打boss.py|findQuestion 找问号 开始
22:21:16|4通常7-2 不打boss.py|findQuestion 找问号 结束
22:21:16|4通常7-2 不打boss.py|处理问号 开始
22:21:16|util.py|click 430 284
22:21:20|util.py|click 354 462
22:21:21|4通常7-2 不打boss.py|处理问号 结束
22:21:21|4通常7-2 不打boss.py|findQuestion 找问号 开始
22:21:24|4通常7-2 不打boss.py|findQuestion 找问号 结束
22:21:24|const.py|findShip 找船 开始
22:21:25|const.py|findShip 找船 结束
22:21:25|util.py|click 344 242
22:21:26|const.py|anchorProcess 出击步骤开始
22:21:27|const.py|今日不再提示判断 开始
22:21:28|util.py|findPicLoop 循环找图开始 ./public/bmp/anchor.bmp
22:21:29|util.py|findPicLoop 循环找图结束 ./public/bmp/anchor.bmp
22:21:30|util.py|click 770 429
22:21:30|const.py|自律 开始
22:21:31|const.py|红脸判断 开始
22:21:31|util.py|getWords 识字开始
22:21:33|util.py|getWords 识字结束
22:21:33|const.py|船坞已满判断 开始
22:21:45|util.py|findPicLoop 循环找图开始 ./public/bmp/S.bmp
22:22:30|util.py|findPicLoop 循环找图结束 ./public/bmp/S.bmp
22:22:30|const.py|自律 结束
22:22:31|util.py|click 181 426
22:22:33|util.py|click 684 308
22:22:35|const.py|打捞到sr或ssr判断 开始
22:22:36|util.py|click 684 308
22:22:36|util.py|findPicLoop 循环找图开始 ./public/bmp/exp2.bmp
22:22:38|util.py|findPicLoop 循环找图结束 ./public/bmp/exp2.bmp
22:22:38|util.py|click 733 445
22:22:42|const.py|作战失败判断 开始
22:22:46|const.py|紧急委托判断 开始
22:22:48|const.py|anchorProcess 出击步骤结束
22:22:48|4通常7-2 不打boss.py|------------一把结束-----------
22:22:48|4通常7-2 不打boss.py|------------一把开始-----------
22:22:48|util.py|findPicLoop 循环找图开始 ./public/bmp/withdraw.jpg
22:22:49|util.py|findPicLoop 循环找图结束 ./public/bmp/withdraw.jpg
22:22:53|4通常7-2 不打boss.py|findQuestion 找问号 开始
22:22:55|4通常7-2 不打boss.py|findQuestion 找问号 结束
22:22:55|4通常7-2 不打boss.py|处理问号 开始
22:22:55|util.py|click 430 278
22:23:05|util.py|click 354 462
22:23:07|4通常7-2 不打boss.py|处理问号 结束
22:23:07|4通常7-2 不打boss.py|findQuestion 找问号 开始
22:23:09|4通常7-2 不打boss.py|findQuestion 找问号 结束
22:23:09|const.py|findShip 找船 开始
22:23:10|const.py|findShip 找船 结束
22:23:10|util.py|click 607 306
22:23:11|const.py|anchorProcess 出击步骤开始
22:23:12|const.py|今日不再提示判断 开始
22:23:13|util.py|findPicLoop 循环找图开始 ./public/bmp/anchor.bmp
22:23:14|util.py|findPicLoop 循环找图结束 ./public/bmp/anchor.bmp
22:23:14|util.py|click 770 429
22:23:15|const.py|自律 开始
22:23:16|const.py|红脸判断 开始
22:23:16|util.py|getWords 识字开始
22:23:18|util.py|getWords 识字结束
22:23:18|const.py|船坞已满判断 开始
22:23:29|util.py|findPicLoop 循环找图开始 ./public/bmp/S.bmp
22:24:15|util.py|findPicLoop 循环找图结束 ./public/bmp/S.bmp
22:24:15|const.py|自律 结束
22:24:16|util.py|click 181 426
22:24:17|util.py|click 684 308
22:24:19|const.py|打捞到sr或ssr判断 开始
22:24:20|util.py|click 684 308
22:24:21|util.py|findPicLoop 循环找图开始 ./public/bmp/exp2.bmp
22:24:22|util.py|findPicLoop 循环找图结束 ./public/bmp/exp2.bmp
22:24:22|util.py|click 733 445
22:24:25|const.py|作战失败判断 开始
22:24:30|const.py|紧急委托判断 开始
22:24:30|const.py|anchorProcess 出击步骤结束
22:24:30|4通常7-2 不打boss.py|------------一把结束-----------
22:24:30|util.py|findPicLoop 循环找图开始 ./public/bmp/withdraw.jpg
22:24:31|util.py|findPicLoop 循环找图结束 ./public/bmp/withdraw.jpg
22:24:31|util.py|click 563 460
22:24:32|util.py|findPicLoop 循环找图开始 ./public/bmp/OK.jpg
22:24:33|util.py|findPicLoop 循环找图结束 ./public/bmp/OK.jpg
22:24:33|util.py|click 534 361
22:24:33|4通常7-2 不打boss.py|-------------一局结束------------
22:24:33|4通常7-2 不打boss.py|-------------一局开始------------
22:24:33|const.py|intoStageProcess 进入stage步骤开始
22:24:35|util.py|click 361 146
22:24:36|util.py|findPicLoop 循环找图开始 ./public/bmp/start chapter.jpg
22:24:38|util.py|findPicLoop 循环找图结束 ./public/bmp/start chapter.jpg
22:24:38|util.py|click 642 350
22:24:39|const.py|船坞已满判断 开始
22:24:40|util.py|click 767 220
22:24:41|util.py|click 713 131
22:24:42|util.py|click 740 232
22:24:42|util.py|click 714 223
22:24:43|util.py|click 740 406
22:24:44|util.py|findPicLoop 循环找图开始 ./public/bmp/start chapter.jpg
22:24:46|util.py|findPicLoop 循环找图结束 ./public/bmp/start chapter.jpg
